school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,MG1,MG2,MG3,PG1,PG2,PG3,_merge,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,alc,Pedu
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,yes,no,5.0,6.0,6.0,0.0,11.0,11.0,both,mother,2.0,2.0,0.0,yes,no,no,no,yes,no,4.0,3.0,4.0,1.0,1.0,3.0,6.0,2.0,8
GP,F,17,U,GT3,T,1,1,at_home,other,course,no,yes,5.0,5.0,6.0,9.0,11.0,11.0,both,father,1.0,2.0,0.0,no,yes,no,no,yes,no,5.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,2
GP,F,15,U,LE3,T,1,1,at_home,other,other,yes,yes,7.0,8.0,10.0,12.0,13.0,12.0,both,mother,1.0,2.0,3.0,yes,no,yes,no,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,10.0,5.0,2
GP,F,15,U,GT3,T,4,2,health,services,home,yes,yes,15.0,14.0,15.0,14.0,14.0,14.0,both,mother,1.0,3.0,0.0,no,yes,yes,yes,yes,yes,3.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,6
GP,F,16,U,GT3,T,3,3,other,other,home,yes,no,6.0,10.0,10.0,11.0,13.0,13.0,both,father,1.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,3.0,2.0,1.0,2.0,5.0,4.0,3.0,6
GP,M,16,U,LE3,T,4,3,services,other,reputation,yes,yes,15.0,15.0,15.0,12.0,12.0,13.0,both,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,no,5.0,4.0,2.0,1.0,2.0,5.0,10.0,3.0,7
GP,M,16,U,LE3,T,2,2,other,other,home,yes,yes,12.0,12.0,11.0,13.0,12.0,13.0,both,mother,1.0,2.0,0.0,no,no,no,no,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,2.0,4
GP,F,17,U,GT3,A,4,4,other,teacher,home,yes,no,6.0,5.0,6.0,10.0,13.0,13.0,both,mother,2.0,2.0,0.0,yes,yes,no,no,yes,no,4.0,1.0,4.0,1.0,1.0,1.0,6.0,2.0,8
GP,M,15,U,LE3,A,3,2,services,other,home,yes,yes,16.0,18.0,19.0,15.0,16.0,17.0,both,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,5
GP,M,15,U,GT3,T,3,4,other,other,home,yes,yes,14.0,15.0,15.0,12.0,12.0,13.0,both,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,no,5.0,5.0,1.0,1.0,1.0,5.0,0.0,2.0,7
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,yes,yes,10.0,8.0,9.0,14.0,14.0,14.0,both,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,0.0,3.0,8
GP,F,15,U,GT3,T,2,1,services,other,reputation,yes,yes,10.0,12.0,12.0,10.0,12.0,13.0,both,father,3.0,3.0,0.0,no,yes,no,yes,yes,no,5.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,3
GP,M,15,U,LE3,T,4,4,health,services,course,yes,yes,14.0,14.0,14.0,12.0,13.0,12.0,both,father,1.0,1.0,0.0,no,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,3.0,5.0,2.0,4.0,8
GP,M,15,U,GT3,T,4,3,teacher,other,course,yes,yes,10.0,10.0,11.0,12.0,12.0,13.0,both,mother,2.0,2.0,0.0,no,yes,yes,no,yes,no,5.0,4.0,3.0,1.0,2.0,3.0,2.0,3.0,7
GP,M,15,U,GT3,A,2,2,other,other,home,yes,yes,14.0,16.0,16.0,14.0,14.0,15.0,both,other,1.0,3.0,0.0,no,yes,no,no,yes,yes,4.0,5.0,2.0,1.0,1.0,3.0,0.0,2.0,4
GP,F,16,U,GT3,T,4,4,health,other,home,yes,yes,14.0,14.0,14.0,17.0,17.0,17.0,both,mother,1.0,1.0,0.0,no,yes,no,no,yes,no,4.0,4.0,4.0,1.0,2.0,2.0,4.0,3.0,8
GP,F,16,U,GT3,T,4,4,services,services,reputation,yes,yes,13.0,14.0,14.0,13.0,13.0,14.0,both,mother,1.0,3.0,0.0,no,yes,yes,yes,yes,no,3.0,2.0,3.0,1.0,2.0,2.0,6.0,3.0,8
GP,F,16,U,GT3,T,3,3,other,other,reputation,yes,no,8.0,10.0,10.0,13.0,14.0,14.0,both,mother,3.0,2.0,0.0,yes,yes,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,4.0,4.0,2.0,6
GP,M,17,U,GT3,T,3,2,services,services,course,yes,yes,6.0,5.0,5.0,8.0,8.0,7.0,both,mother,1.0,1.0,3.0,no,yes,no,yes,yes,no,5.0,5.0,5.0,2.0,4.0,5.0,16.0,6.0,5
GP,M,16,U,LE3,T,4,3,health,other,home,yes,yes,8.0,10.0,10.0,12.0,12.0,12.0,both,father,1.0,1.0,0.0,no,no,yes,yes,yes,no,3.0,1.0,3.0,1.0,3.0,5.0,4.0,4.0,7
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,yes,yes,13.0,14.0,15.0,12.0,13.0,14.0,both,mother,1.0,2.0,0.0,no,no,no,no,yes,no,4.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,7
GP,M,15,U,GT3,T,4,4,health,health,other,yes,yes,12.0,15.0,15.0,11.0,12.0,12.0,both,father,1.0,1.0,0.0,no,yes,yes,no,yes,no,5.0,4.0,2.0,1.0,1.0,5.0,0.0,2.0,8
GP,M,16,U,LE3,T,4,2,teacher,other,course,yes,yes,15.0,15.0,16.0,12.0,13.0,14.0,both,mother,1.0,2.0,0.0,no,no,no,yes,yes,no,4.0,5.0,1.0,1.0,3.0,5.0,2.0,4.0,6
GP,M,16,U,LE3,T,2,2,other,other,reputation,yes,yes,13.0,13.0,12.0,10.0,10.0,10.0,both,mother,2.0,2.0,0.0,no,yes,no,yes,yes,no,5.0,4.0,4.0,2.0,4.0,5.0,0.0,6.0,4
GP,F,15,R,GT3,T,2,4,services,health,course,yes,yes,10.0,9.0,8.0,10.0,11.0,10.0,both,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,2.0,6
GP,F,16,U,GT3,T,2,2,services,services,home,no,yes,6.0,9.0,8.0,10.0,11.0,12.0,both,mother,1.0,1.0,2.0,no,yes,yes,no,yes,no,1.0,2.0,2.0,1.0,3.0,5.0,14.0,4.0,4
GP,M,15,U,GT3,T,2,2,other,other,home,yes,yes,12.0,12.0,11.0,11.0,12.0,12.0,both,mother,1.0,1.0,0.0,no,yes,yes,no,yes,no,4.0,2.0,2.0,1.0,2.0,5.0,2.0,3.0,4
GP,M,15,U,GT3,T,4,2,health,services,other,yes,yes,15.0,16.0,15.0,11.0,11.0,11.0,both,mother,1.0,1.0,0.0,no,no,yes,no,yes,no,2.0,2.0,4.0,2.0,4.0,1.0,4.0,6.0,6
